,test_acc,train_acc,test_loss,train_loss
0,0.85,0.767,0.4398,0.7008
1,0.893,0.861,0.3305,0.421
2,0.894,0.905,0.3158,0.2824
3,0.898,0.932,0.3233,0.2005
4,0.891,0.95,0.371,0.1476
5,0.918,0.979,0.2915,0.0654
6,0.91,0.986,0.3285,0.0436
7,0.912,0.988,0.3284,0.0376
8,0.896,0.989,0.4035,0.035
9,0.913,0.989,0.3272,0.033
10,0.924,0.995,0.2997,0.0166
11,0.918,0.996,0.3132,0.0119
12,0.916,0.996,0.3314,0.011
13,0.916,0.997,0.34,0.01
14,0.917,0.997,0.3517,0.01
15,0.92,0.998,0.3214,0.0054
16,0.924,0.999,0.3207,0.0046
17,0.921,0.999,0.329,0.0036
18,0.923,0.999,0.3217,0.0036
19,0.919,0.999,0.3435,0.0036
20,0.924,0.999,0.3272,0.0028
21,0.929,1.0,0.3264,0.0019
22,0.924,0.999,0.3312,0.0019
23,0.923,1.0,0.3388,0.0014
24,0.922,1.0,0.3486,0.0012
25,0.922,1.0,0.3391,0.0011
26,0.926,1.0,0.3385,0.001
27,0.925,1.0,0.3453,0.0013
28,0.925,1.0,0.3516,0.0009
29,0.924,1.0,0.333,0.0008
