,test_acc,train_acc,test_loss,train_loss
0,0.7954,0.69122,0.6466461328426376,0.9151789512753487
1,0.8441,0.78296,0.4845132538486272,0.6381634708288312
2,0.8597,0.82068,0.4292142267003655,0.5358386180998385
3,0.8929,0.84098,0.31117272651707756,0.4686132209675759
4,0.8961,0.85624,0.3135230549335014,0.42086476497143505
5,0.9041,0.88548,0.3038162321139127,0.3301708434484154
6,0.905,0.89514,0.2846699272570899,0.29913860953360794
7,0.9099,0.90258,0.27768330828550386,0.27848772808650507
8,0.9121,0.90912,0.27885537112851455,0.2648400444140471
9,0.9122,0.9137,0.27818193987502016,0.25030327935414387
10,0.9213,0.92984,0.24961669042464346,0.20403960415465291
11,0.9211,0.93498,0.25920328005309495,0.190120584330922
12,0.9202,0.93778,0.2572513449176189,0.18023142280215862
13,0.919,0.9417,0.2623252212287887,0.16761691290407907
14,0.9172,0.94342,0.26385144065788774,0.1623619863492204
15,0.9247,0.95262,0.24264880514359102,0.13770160831562128
16,0.9246,0.95526,0.26313524994607096,0.1301102378646721
17,0.9248,0.95806,0.25080807443592495,0.12151915913079167
18,0.9264,0.95956,0.24999216136967917,0.1169884145977418
19,0.9219,0.96086,0.26849717265826367,0.11381250124304905
20,0.924,0.96448,0.2591301001529926,0.10376188701348961
21,0.925,0.9662,0.25949201740194694,0.09806734217638732
22,0.9258,0.96704,0.2596377886767244,0.09412706637037394
23,0.9265,0.96888,0.2581507556696779,0.09045054688788717
24,0.9269,0.96992,0.2680967422736394,0.08920659402127436
25,0.9301,0.9716,0.25119801427899147,0.08385172721080832
26,0.9286,0.97156,0.24937557244947128,0.08344530241144996
27,0.9274,0.97146,0.2553594736141255,0.0831156877747731
28,0.9273,0.97256,0.26639704429700806,0.08252538436426257
29,0.9267,0.97376,0.2571313934631132,0.0768431516454919
30,0.9257,0.97494,0.26493780747616263,0.07445174521582434
31,0.9274,0.97508,0.26099055533971405,0.07392290274532395
32,0.9264,0.97548,0.2641186723313719,0.07506928055130527
33,0.9271,0.97352,0.2585013374100997,0.07497662107084122
34,0.925,0.97506,0.26334706603795166,0.07076408455788827
35,0.9264,0.9771,0.2604732237473804,0.06950411313311779
36,0.929,0.97648,0.2581749323636006,0.06963948189665156
37,0.9292,0.97632,0.25336651094893303,0.0699624581333631
38,0.9282,0.97646,0.26594775826540085,0.06994177147401467
39,0.9302,0.97704,0.24881460749575846,0.06884979033485492
40,0.9273,0.97734,0.26406606336338145,0.06737624997248233
41,0.9275,0.97692,0.2595403639446311,0.06817816603489832
42,0.9256,0.97676,0.2686856508439565,0.06881270790627139
43,0.9246,0.97704,0.2718764472314606,0.06781193291836243
44,0.9277,0.97678,0.2683797736813384,0.06792692593843822
45,0.9274,0.97762,0.26644861649598406,0.06604412278733188
46,0.929,0.97756,0.2675701720168726,0.06600911356894343
47,0.9311,0.9767,0.2486249551276296,0.06948231470003724
48,0.9282,0.97724,0.25914821172888386,0.0669344676548183
49,0.9287,0.97702,0.2572128432587211,0.06766846485595218
