,test_acc,train_acc,test_loss,train_loss
0,0.86,0.689,0.4083,0.9542
1,0.884,0.787,0.3423,0.6539
2,0.9,0.825,0.3037,0.5465
3,0.905,0.845,0.2889,0.4807
4,0.902,0.866,0.2985,0.4229
5,0.908,0.88,0.2747,0.3739
6,0.906,0.894,0.275,0.3324
7,0.912,0.908,0.2635,0.2954
8,0.908,0.915,0.2748,0.2725
9,0.909,0.925,0.2815,0.2434
10,0.91,0.932,0.2742,0.2241
11,0.913,0.939,0.2666,0.2024
12,0.904,0.948,0.2755,0.1759
13,0.908,0.951,0.2811,0.1644
14,0.912,0.956,0.2799,0.1444
15,0.915,0.96,0.2675,0.1345
16,0.908,0.961,0.2849,0.1324
17,0.909,0.966,0.2907,0.1138
18,0.914,0.97,0.2825,0.1069
19,0.916,0.97,0.2833,0.1033
20,0.915,0.972,0.2828,0.1031
21,0.905,0.975,0.3156,0.092
22,0.912,0.975,0.2953,0.0879
23,0.915,0.978,0.289,0.0794
24,0.913,0.979,0.2865,0.0748
25,0.908,0.98,0.3093,0.0709
26,0.913,0.981,0.295,0.0706
27,0.911,0.983,0.3013,0.063
28,0.917,0.982,0.2754,0.0656
29,0.911,0.984,0.2959,0.0597
